Code du Point de Vente,Raison Sociale,Code Postal,Ville,Code Chef de Secteur Henkel,"Total
Famille",Famille,"Total
annuel
2022","Total
annuel
2023","Total
annuel
Evol","Total
YTD
2022","Total
YTD
2023","Total
YTD
Evol","Janvier
2022","Janvier
2023","Janvier
Evol","Février
2022","Février
2023","Février
Evol","Mars
2022","Mars
2023","Mars
Evol","Avril
2022","Avril
2023","Avril
Evol","Mai
2022","Mai
2023","Mai
Evol","Juin
2022","Juin
2023","Juin
Evol","Juillet
2022","Juillet
2023","Juillet
Evol","Août
2022","Août
2023","Août
Evol","Septembre
2022","Septembre
2023","Septembre
Evol","Octobre
2022","Octobre
2023","Octobre
Evol","Novembre
2022","Novembre
2023","Novembre
Evol","Décembre
2022","Décembre
2023","Décembre
Evol"
20nh5,LEROY MERLIN - 046,22360,LANGUEUX,478,TOTAL HENKEL,,326066,372111,"14,12%",326066,372111,"14,12%",27628,45732,"65,53%",28963,23595,"-18,54%",33956,22110,"-34,89%",17586,20245,"15,12%",22088,28630,"29,62%",21027,23582,"12,15%",21434,30877,"44,06%",36048,47566,"31,95%",27767,37621,"35,49%",39097,28176,"-27,93%",25694,33568,"30,65%",24779,30409,"22,72%"
20nh5,LEROY MERLIN - 046,22360,LANGUEUX,478,,TOTAL HENKEL Direct,326066,372111,"14,12%",326066,372111,"14,12%",27628,45732,"65,53%",28963,23595,"-18,54%",33956,22110,"-34,89%",17586,20245,"15,12%",22088,28630,"29,62%",21027,23582,"12,15%",21434,30877,"44,06%",36048,47566,"31,95%",27767,37621,"35,49%",39097,28176,"-27,93%",25694,33568,"30,65%",24779,30409,"22,72%"
20nh5,LEROY MERLIN - 046,22360,LANGUEUX,478,,-    PEINTURE,218817,238565,"9,02%",218817,238565,"9,02%",16145,21576,"33,64%",16587,12112,"-26,98%",14925,12663,"-15,15%",15006,14944,"-0,41%",13309,23033,"73,07%",18881,11761,"-37,71%",11183,19052,"70,37%",24800,33722,"35,98%",22645,30475,"34,58%",26525,17997,"-32,15%",18698,20221,"8,15%",20114,21008,"4,44%"
20nh5,LEROY MERLIN - 046,22360,LANGUEUX,478,,-    MENUISERIE,26329,44719,,26329,44719,"69,85%",2589,8190,"216,39%",2970,3448,"16,07%",6045,3341,"-44,74%",-916,1405,,3305,1378,"-58,30%",,2758,,3793,5698,"50,21%",3135,4540,"44,81%",120,3427,"2750,10%",3417,2382,"-30,31%",857,4378,"410,70%",1012,3774,"272,94%"
20nh5,LEROY MERLIN - 046,22360,LANGUEUX,478,,-    PLOMBERIE,29749,27815,,29749,27815,"-6,50%",4502,6678,"48,33%",4545,1429,"-68,55%",4810,1999,"-58,44%",,890,,2465,2014,"-18,32%",261,3520,"1249,14%",2321,1804,"-22,27%",3873,3150,"-18,67%",2738,1186,"-56,69%",2692,2134,"-20,72%",1066,1870,"75,39%",476,1141,"139,60%"
20nh5,LEROY MERLIN - 046,22360,LANGUEUX,478,,-    SOL,30617,39457,"28,87%",30617,39457,"28,87%",2633,6892,"161,75%",3077,4999,"62,48%",3765,3329,"-11,59%",3346,1441,"-56,93%",1039,772,"-25,66%",1469,2778,"89,05%",1963,2807,"42,99%",2589,4324,"67,04%",1003,1229,"22,51%",4262,3955,"-7,19%",3230,4105,"27,09%",2242,2825,"26,03%"
20nh5,LEROY MERLIN - 046,22360,LANGUEUX,478,,-    DECO,15664,14055,,15664,14055,"-10,28%",1696,1845,"8,82%",1722,1318,"-23,43%",4348,276,"-93,66%",,1368,,60,1028,"1609,98%",212,2168,"922,98%",1979,303,"-84,70%",1296,964,"-25,59%",316,1016,"221,16%",2005,1142,"-43,03%",1326,2217,"67,26%",706,410,"-41,95%"
20nh5,LEROY MERLIN - 046,22360,LANGUEUX,478,,-    QUINCAILLERIE,3880,2871,,3880,2871,-26%,63,552,"768,81%",63,196,"208,51%",63,352,"454,25%",,,,1611,207,"-87,12%",,347,,195,,,199,311,"56,02%",743,289,"-61,10%",196,407,"107,84%",517,,,228,210,"-7,78%"
20nh5,LEROY MERLIN - 046,22360,LANGUEUX,478,,-    BATI,711,1122,,711,1122,"57,95%",,,,,,,,151,,150,151,"0,16%",,151,,204,204,"0,06%",,151,,155,,,201,,,,158,,,,,,158,
20nh5,LEROY MERLIN - 046,22360,LANGUEUX,478,,-    AUTRES,299,3507,,299,3507,"1073,65%",,,,,92,,,,,,46,,299,46,"-84,54%",,46,,,1063,,,554,,,,,,,,,777,,,882,
20nyy,LEROY MERLIN - 178,35730,PLEURTUIT,478,TOTAL HENKEL,,244144,273930,"12,20%",244144,273930,"12,20%",20979,31294,"49,17%",21680,12772,"-41,09%",19866,24422,"22,94%",10222,18083,"76,90%",18510,28879,"56,02%",29077,13382,"-53,98%",12305,25933,"110,76%",31606,26190,"-17,14%",14919,20028,"34,25%",31236,27790,"-11,03%",19209,22884,"19,13%",14537,22275,"53,23%"
20nyy,LEROY MERLIN - 178,35730,PLEURTUIT,478,,TOTAL HENKEL Direct,244144,273930,"12,20%",244144,273930,"12,20%",20979,31294,"49,17%",21680,12772,"-41,09%",19866,24422,"22,94%",10222,18083,"76,90%",18510,28879,"56,02%",29077,13382,"-53,98%",12305,25933,"110,76%",31606,26190,"-17,14%",14919,20028,"34,25%",31236,27790,"-11,03%",19209,22884,"19,13%",14537,22275,"53,23%"
20nyy,LEROY MERLIN - 178,35730,PLEURTUIT,478,,-    PEINTURE,162823,185067,"13,66%",162823,185067,"13,66%",11732,16818,"43,36%",14311,6722,"-53,03%",10449,16405,57%,9296,13746,"47,88%",11765,19208,"63,26%",20241,10666,"-47,30%",9437,19285,"104,35%",19690,18986,"-3,58%",10731,15715,"46,45%",22328,16913,"-24,25%",12947,15354,"18,59%",9897,15248,"54,08%"
20nyy,LEROY MERLIN - 178,35730,PLEURTUIT,478,,-    MENUISERIE,20482,28175,"37,56%",20482,28175,"37,56%",3028,4769,"57,49%",1621,1601,"-1,21%",2211,3021,"36,62%",102,830,"712,69%",2289,2262,"-1,20%",2582,1803,"-30,17%",1057,1386,"31,13%",1292,2511,"94,32%",1355,2152,"58,80%",2687,2244,"-16,51%",1636,2862,"74,89%",621,2736,"340,81%"
20nyy,LEROY MERLIN - 178,35730,PLEURTUIT,478,,-    PLOMBERIE,23453,25014,,23453,25014,"6,65%",2081,6179,"196,95%",3386,2760,"-18,47%",2436,1720,"-29,42%",383,1158,"202,43%",2645,1708,"-35,43%",1986,-305,,305,3462,"1035,57%",4904,1363,"-72,21%",607,1096,"80,60%",1370,4033,"194,33%",1357,1410,"3,92%",1994,431,"-78,41%"
20nyy,LEROY MERLIN - 178,35730,PLEURTUIT,478,,-    SOL,24070,21798,"-9,44%",24070,21798,"-9,44%",3366,1599,"-52,50%",1567,889,"-43,27%",2813,1711,"-39,17%",421,1830,"334,15%",781,3310,"324,02%",2806,642,"-77,11%",564,1531,"171,45%",3654,2067,"-43,42%",1078,548,"-49,17%",2867,3572,"24,59%",2341,1199,"-48,79%",1812,2900,"60,03%"
20nyy,LEROY MERLIN - 178,35730,PLEURTUIT,478,,-    DECO,10920,10498,"-3,86%",10920,10498,"-3,86%",773,937,"21,29%",732,799,"9,14%",1746,1217,"-30,30%",20,519,"2491,32%",595,2392,"302,16%",1086,431,"-60,28%",941,268,"-71,48%",1669,872,"-47,76%",814,517,"-36,49%",1602,897,"-43,98%",731,894,"22,41%",213,755,"254,45%"
20nyy,LEROY MERLIN - 178,35730,PLEURTUIT,478,,-    QUINCAILLERIE,1419,1851,,1419,1851,"30,37%",,677,,63,,,60,349,"476,79%",,,,436,,,127,144,"13,80%",,,,134,345,"157,53%",334,,,67,131,"94,98%",198,,,,205,
20nyy,LEROY MERLIN - 178,35730,PLEURTUIT,478,,-    AUTRES,827,1527,,827,1527,"84,59%",,315,,,,,,,,,,,,,,249,,,,,,263,46,"-82,42%",,,,315,,,,1165,,,,
20nyy,LEROY MERLIN - 178,35730,PLEURTUIT,478,,-    BATI,150,,,150,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20pbx,LEROY MERLIN - 179,50470,TOLLEVAST,478,TOTAL HENKEL,,163058,182407,"11,87%",163058,182407,"11,87%",9466,18400,"94,37%",17498,15647,"-10,58%",24582,9599,"-60,95%",6864,8110,"18,16%",10035,15432,"53,78%",12025,9623,"-19,98%",10350,19576,"89,14%",14483,21209,"46,44%",12977,13631,"5,04%",19285,16427,"-14,82%",15046,18251,"21,30%",10447,16503,"57,97%"
20pbx,LEROY MERLIN - 179,50470,TOLLEVAST,478,,TOTAL HENKEL Direct,163058,182407,"11,87%",163058,182407,"11,87%",9466,18400,"94,37%",17498,15647,"-10,58%",24582,9599,"-60,95%",6864,8110,"18,16%",10035,15432,"53,78%",12025,9623,"-19,98%",10350,19576,"89,14%",14483,21209,"46,44%",12977,13631,"5,04%",19285,16427,"-14,82%",15046,18251,"21,30%",10447,16503,"57,97%"
20pbx,LEROY MERLIN - 179,50470,TOLLEVAST,478,,-    PEINTURE,104516,125243,"19,83%",104516,125243,"19,83%",4979,13759,"176,35%",8601,9626,"11,91%",15029,6595,"-56,12%",4512,6361,"40,99%",6328,9598,"51,68%",9543,6461,"-32,29%",7372,9835,"33,42%",9192,14860,"61,66%",9652,10600,"9,82%",12745,12871,"0,99%",9028,12031,"33,26%",7536,12645,"67,79%"
20pbx,LEROY MERLIN - 179,50470,TOLLEVAST,478,,-    MENUISERIE,15884,16255,,15884,16255,"2,33%",1401,1437,"2,63%",2623,2614,"-0,33%",1121,287,"-74,44%",473,,,1437,2068,"43,89%",932,244,"-73,82%",918,3063,"233,55%",1929,2510,"30,10%",891,605,"-32,10%",1908,1318,"-30,90%",1515,1649,"8,82%",736,460,"-37,53%"
20pbx,LEROY MERLIN - 179,50470,TOLLEVAST,478,,-    PLOMBERIE,15885,14982,,15885,14982,"-5,68%",1592,976,"-38,68%",2768,755,"-72,74%",6349,644,"-89,85%",,666,,196,1653,"741,55%",,,,,4244,,513,1138,"121,65%",725,1014,"39,82%",2741,1045,"-61,87%",358,507,"41,48%",642,2340,"264,27%"
20pbx,LEROY MERLIN - 179,50470,TOLLEVAST,478,,-    SOL,15410,13063,"-15,23%",15410,13063,"-15,23%",997,727,"-27,12%",1618,1459,"-9,85%",1293,678,"-47,58%",1158,787,"-32,01%",1275,1343,"5,37%",1152,1738,"50,79%",1017,1450,"42,60%",1807,1650,"-8,72%",950,1075,"13,22%",1065,400,"-62,48%",2199,1217,"-44,66%",879,540,"-38,53%"
20pbx,LEROY MERLIN - 179,50470,TOLLEVAST,478,,-    DECO,6667,6875,"3,13%",6667,6875,"3,13%",204,753,"268,70%",692,617,"-10,78%",513,642,"25,08%",582,295,"-49,30%",382,770,"101,40%",335,583,"74,30%",273,451,"65,37%",766,723,"-5,60%",634,265,"-58,26%",759,659,"-13,15%",873,670,"-23,25%",654,446,"-31,72%"
