ANNEE,CODE DU POINT DE VENTE,RAISON SOCIALE,CODE POSTAL,VILLE,Code Chef de Secteur Henkel,RAYON,NATURE,TYPE ACCORD,MODALITÉS,"BUDGET
ACCORD
HT €"
2022,20ph7,BRICOMARCHE - B066,56400,AURAY,443,Tous rayons,Permanent,OP CARTE AUBADE,,"  110,55 € "
2023,20p9b,BRICOMARCHE - B147,46220,PRAYSSAC,412,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct,"  1 031,00 € "
2022,20p9b,BRICOMARCHE - B147,46220,PRAYSSAC,412,Tous rayons,Permanent,VISIBILITE 2022,,"  1 545,00 € "
2023,20r4h,BRICOMARCHE - B241,77160,PROVINS,536,Tous rayons,Promo,Pack Visibilité GSB,Valeur Fixe,"  1 000,00 € "
2022,20r4h,BRICOMARCHE - B241,77160,PROVINS,536,Tous rayons,Promo,MEA RUBSON / PATTEX / SG3,,"  300,00 € "
2022,20r4h,BRICOMARCHE - B241,77160,PROVINS,536,Tous rayons,Promo,VISIBILITE 2022 RUBSON/PATTEX/SG3,,"  1 000,00 € "
2023,20nts,BRICOMARCHE - B061,31520,RAMONVILLE SAINT AGNE,412,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct,"  2 014,00 € "
2022,20nts,BRICOMARCHE - B061,31520,RAMONVILLE SAINT AGNE,412,Tous rayons,Permanent,VISIBILITE 2022,,"  2 075,00 € "
2023,20p4u,BRICOMARCHE - B451,42800,RIVE DE GIER,348,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  1 500,00 € "
2023,20nbt,BRICOMARCHE - B115,17300,ROCHEFORT SUR MER,415,Peinture,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  2 197,00 € "
2022,20nbt,BRICOMARCHE - B115,17300,ROCHEFORT SUR MER,415,Peinture,Permanent,TG ANNUELLE / CROSS MKT / TG CAISSES PATTEX/RUBSON/SG,,"  2 449,00 € "
2023,20r1h,BRICOMARCHE - B389,74150,RUMILLY,347,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  1 559,13 € "
2022,20r1h,BRICOMARCHE - B389,74150,RUMILLY,347,Tous rayons,Permanent,PODIUM RUBON/PATTEX/LOCTITE,,"  372,00 € "
2022,20nmv,BRICOMARCHE - B452,26750,ST PAUL LES ROMANS,378,Tous rayons,Permanent,VISIBILITE 2022,,"  850,59 € "
2023,20vkw,BRICOMARCHE - B476,44310,SAINT PHILBERT DE GRAND LIEU,444,Tous rayons,Promo,Pack Visibilité GSB,Valeur Fixe,"  1 000,00 € "
2023,20ncr,BRICOMARCHE - B012,17100,SAINTES,415,Déco,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  1 866,00 € "
2023,20pt9,BRICOMARCHE - B153,64121,SERRES CASTET,413,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  1 400,00 € "
2022,20pt9,BRICOMARCHE - B153,64121,SERRES CASTET,413,Tous rayons,Permanent,VISIBILITE,,"  1 200,00 € "
2023,20p32,BRICOMARCHE - B035,40150,SOORTS HOSSEGOR,413,Tous rayons,Promo,TG/Podium,Valeur Fixe,"  250,00 € "
2023,20p32,BRICOMARCHE - B035,40150,SOORTS HOSSEGOR,413,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  1 400,00 € "
2022,20p32,BRICOMARCHE - B035,40150,SOORTS HOSSEGOR,413,Tous rayons,Permanent,VISIBILITE 2022,,"  1 200,00 € "
2023,20r1t,BRICOMARCHE - B235,74162,ST JULIEN EN GENEVOIS,347,Tous rayons,Permanent,Pack Visibilité GSB,Valeur Fixe,"  1 167,30 € "
2022,20r1t,BRICOMARCHE - B235,74162,ST JULIEN EN GENEVOIS,347,Tous rayons,Permanent,PACK VISIBILITE 2022,,"  1 167,30 € "
2023,20pay,BRICOMARCHE - B150,49400,ST LAMBERT DES LEVEES,460,Tous rayons,Permanent,Pack Visibilité GSB,Valeur Fixe,"  400,00 € "
2023,20r36,BRICOMARCHE - B223,76400,ST LEONARD,480,Peinture,Promo,TG/Podium,Valeur Fixe,"  200,00 € "
2023,20p1r,BRICOMARCHE - B229,38160,ST SAUVEUR,347,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  857,88 € "
2022,20p1r,BRICOMARCHE - B229,38160,ST SAUVEUR,347,Tous rayons,Permanent,"pack visibilite´ 2022
",,"  857,88 € "
2022,20pvx,BRICOMARCHE - B449,67110,REICHSHOFFEN,523,Tous rayons,Permanent,CROSS MKT MASTICS SILICONES,,"  300,00 € "
2022,20pvx,BRICOMARCHE - B449,67110,REICHSHOFFEN,523,Tous rayons,Permanent,CROSS MKT ISOL & ETANCH,,"  3 000,00 € "
2023,20pu9,BRICOMARCHE - B052,65000,TARBES,413,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  600,00 € "
2022,20pu9,BRICOMARCHE - B052,65000,TARBES,413,Tous rayons,Permanent,VISIBILITE,,"  700,00 € "
2023,20p33,BRICOMARCHE - B046,40220,TARNOS,413,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  1 200,00 € "
2022,20p33,BRICOMARCHE - B046,40220,TARNOS,413,Tous rayons,Permanent,VISIBILITE,,"  1 100,00 € "
2022,20vns,BRICOMARCHE - B483,19140,UZERCHE,350,Tous rayons,Permanent,RUBSON,,"  500,00 € "
2023,20p6f,BRICOMARCHE - B156,44330,VALLET,444,Tous rayons,Permanent,,Valeur Fixe,"  500,00 € "
2023,20rat,BRICOMARCHE - B317,84600,VALREAS,378,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct,"  654,60 € "
2023,20p1v,BRICOMARCHE - B466,38250,VILLARD DE LANS,347,Tous rayons,Permanent,Pack Visibilité GSB,% CA Annuel Direct + Entrepôt,"  1 220,04 € "
2022,20p1v,BRICOMARCHE - B466,38250,VILLARD DE LANS,347,Tous rayons,Permanent,"pack visibilite
",,"  1 220,04 € "
2023,20pd4,BRICOMARCHE - B214,51300,VITRY LE FRANCOIS,536,Peinture,Permanent,Cross,Valeur Fixe,"  300,00 € "
2022,20pd4,BRICOMARCHE - B214,51300,VITRY LE FRANCOIS,536,Peinture,Permanent,PACK VISIBILITE 2022,,"  300,00 € "
